Aylward,Bobby,M,Carlow-Kilkenny,Fianna Fail
Deering,Pat,M,Carlow-Kilkenny,Fine Gael
Funchion,Kathleen,F,Carlow-Kilkenny,Sinn Fein
McGuinness,John,M,Carlow-Kilkenny,Fianna Fail
Paul Phelan,John,M,Carlow-Kilkenny,Fine Gael
Humpries,Heather,F,Cavan Monaghan,Fine Gael
O'Caolain,Caoimhghin,M,Cavan Monaghan,Sinn Fein
Smith,Brendan,M,Cavan Monaghan,Fianna Fail
Smyth,Niamh,F,Cavan Monaghan,Fianna Fail
Breen,Pat,M,Clare,Fine Gael
Carey,Joe,M,Clare,Fine Gael
Dooley,Timmy,M,Clare,Fianna Fail
Harty,Michael,M,Clare,Independents
Buckley,Pat,M,Cork East,Sinn Fein
O'Keeffe,Kevin,M,Cork East,Fianna Fail
Sherlock,Sean,M,Cork East,Labour
Stanton,David,M,Cork East,Fine Gael
Barry,Mick,M,Cork North Central,Independents
Kelleher,Billy,M,Cork North Central,Fianna Fail
Murphy,Dara,M,Cork North Central,Fine Gael
O'Brien,Johnathan,M,Cork North Central,Sinn Fein
Creed,Michael,M,Cork North West,Fine Gael
Moynihan,Aindrias,M,Cork North West,Fianna Fail
Moynihan,Michael,M,Cork North West,Fianna Fail
Coveney,Simon,M,Cork South Central,Fine Gael
Martin,Micheal,M,Cork South Central,Fianna Fail
McGrath,Michael,M,Cork South Central,Fianna Fail
O'Laoghaire,Donnchadh,M,Cork South Central,Sinn Fein
Collins,Michael,M,Cork South West,Independents
Daly,Jim,M,Cork South West,Fine Gael
Murphy O'Mahony,Margaret,F,Cork South West,Fianna Fail
Doherty,Pearse,M,Donegal,Sinn Fein
Gallagher,Pat,M,Donegal,Fianna Fail
McConalogue,Charlie,M,Donegal,Fianna Fail
McHugh,Joe,M,Donegal,Fine Gael
Pringle,Thomas,M,Donegal,Independents
Broughan,Tommy,M,Dublin Bay North,Independents
Bruton,Richard,M,Dublin Bay North,Fine Gael
Haughey,Sean,M,Dublin Bay North,Fianna Fail
McGrath,Finian,M,Dublin Bay North,Independents
Mitchell,Denise,F,Dublin Bay North,Sinn Fein
Murphy,Eoghan,M,Dublin Bay South,Fine Gael
O'Callaghan,Jim,M,Dublin Bay South,Fianna Fail
O'Connell,Kate,F,Dublin Bay South,Fine Gael
Ryan,Eamon,M,Dublin Bay South,Green Party
Donohoe,Paschal,M,Dublin Central,Fine Gael
McDonald,Mary Lou,F,Dublin Central,Sinn Fein
O'Sullivan,Maureen,F,Dublin Central,Independents
Daly,Clare,F,Dublin Fingal,Independents
Farrell,Alan,M,Dublin Fingal,Fine Gael
O'Brien,Darragh,M,Dublin Fingal,Fianna Fail
O'Reilly,Louise,F,Dublin Fingal,Sinn Fein
Ryan,Brendan,M,Dublin Fingal,Labour
Curran,John,M,Dublin Mid-West,Fianna Fail
Fitzgerald,Frances,F,Dublin Mid-West,Fine Gael
Kenny,Gino,M,Dublin Mid-West,AAA-PBP
O'Broin,Eoin,M,Dublin Mid-West,Sinn Fein
Ellis,Dessie,M,Dublin North West,Sinn Fein
Rock,Noel,M,Dublin North West,Fine Gael
Shortall,Roisin,F,Dublin North West,Social Democrats
Madigan,Josepha,F,Dublin Rathdown,Fine Gael
Martin,Catherine,F,Dublin Rathdown,Green Party
Ross,Shane,M,Dublin Rathdown,Independents
Byrne,Catherine,F,Dublin South Central,Fine Gael
Collins,Joan,F,Dublin South Central,Independents
O'Snodaigh,Aengus,M,Dublin South Central,Sinn Fein
Smith,Brid,F,Dublin South Central,Independents
Brophy,Colm,M,Dublin South West,Fine Gael
Crowe,Sean,M,Dublin South West,Sinn Fein
Lahart,John,M,Dublin South West,Fianna Fail
Murphy,Paul,M,Dublin South West,Independents
Zappone,Katherine,F,Dublin South West,Independents
Burton,Joan,F,Dublin West,Labour
Chambers,Jack,M,Dublin West,Fianna Fail
Coppinger,Ruth,F,Dublin West,AAA-PBP
Varadkar,Leo,M,Dublin West,Fine Gael
Bailey,Maria,F,Dun Laoghaire,Fine Gael
Boyd-Barrett,Richard,M,Dun Laoghaire,AAA-PBP
Mitchell-OConnor,Mary,F,Dun Laoghaire,Fine Gael
Canney,Sean,M,Galway East,Independents
Cannon,Ciaran,M,Galway East,Fine Gael
Rabbitte,Anne,F,Galway East,Fianna Fail
Connolly,Catherine,F,Galway West,Independents
Grealish,Noel,M,Galway West,Independents
Kyne,Sean,M,Galway West,Fine Gael
Naughten,Hildegarde,F,Galway West,Fine Gael
O'Cuiv,Eamon,M,Galway West,Fianna Fail
Brassil,John,M,Kerry,Fianna Fail
Ferris,Martin,M,Kerry,Sinn Fein
Griffin,Brendan,M,Kerry,Fine Gael
Healy Rae,Danny,M,Kerry,Independents
Healy Rae,Michael,M,Kerry,Independents
Durkan,Bernard,M,Kildare North,Fine Gael
Lawless,James,M,Kildare North,Fianna Fail
Murphy,Catherine,F,Kildare North,Social Democrats
O'Rourke,Frank,M,Kildare North,Fianna Fail
Heydon,Martin,M,Kildare South,Fine Gael
O'Fearghaill,Sean,M,Kildare South,Fianna Fail
O'Loughlin,Fiona,F,Kildare South,Fianna Fail
Flanagan,Charlie,M,Laois,Fine Gael
Fleming,Sean,M,Laois,Fianna Fail
Stanley,Brian,M,Laois,Sinn Fein
Noonan,Micheal,M,Limerick City,Fine Gael
O'Dea,Willie,M,Limerick City,Fianna Fail
O'Sullivan,Jan,F,Limerick City,Labour
Quinlivan,Maurice,M,Limerick City,Sinn Fein
Collins,Niall,M,Limerick County,Fianna Fail
Neville,Tom,M,Limerick County,Fine Gael
O'Donovan,Patrick,M,Limerick County,Fine Gael
Boxer Moran,Kevin,M,Longford Westmeath,Independents
Burke,Peter,M,Longford Westmeath,Fine Gael
Penrose,Willie,M,Longford Westmeath,Labour
Troy,Robert,M,Longford Westmeath,Fianna Fail
Adams,Gerry,M,Louth,Sinn Fein
Breathnach,Declan,M,Louth,Fianna Fail
Fitzpatrick,Peter,M,Louth,Fine Gael
Munster,Imelda,F,Louth,Sinn Fein
O'Dowd,Fergus,M,Louth,Fine Gael
Calleary,Dara,M,Mayo,Fianna Fail
Chambers,Lisa,F,Mayo,Fianna Fail
Kenny,Enda,M,Mayo,Fine Gael
Ring,Michael,M,Mayo,Fine Gael
Byrne,Thomas,M,Meath East,Fianna Fail
Doherty,Regina,F,Meath East,Fine Gael
McEntee,Helen,F,Meath East,Fine Gael
Cassells,Shane,M,Meath West,Fianna Fail
English,Damien,M,Meath West,Fine Gael
Toibn,Peadar,M,Meath West,Sinn Fein
Corcoran-Kennedy,Marcella,F,Offaly,Fine Gael
Cowen,Barry,M,Offaly,Fianna Fail
Nolan,Carol,F,Offaly,Sinn Fein
Fitzmaurice,Michael,M,Roscommon Galway,Independents
Murphy,Eugene,M,Roscommon Galway,Fianna Fail
Naughten,Denis,M,Roscommon Galway,Independents
Kenny,Martin,M,Sligo Leitrim,Sinn Fein
MacSharry,Marc,M,Sligo Leitrim,Fianna Fail
McLoughlin,Tony,M,Sligo Leitrim,Fine Gael
Scanlon,Eamon,M,Sligo Leitrim,Fianna Fail
Cahill,Jackie,M,Tipperary,Fianna Fail
Healy,Seamus,M,Tipperary,Independents
Kelly,Alan,M,Tipperary,Labour
Lowry,Michael,M,Tipperary,Independents
McGrath,Mattie,M,Tipperary,Independents
Butler,Mary,F,Waterford,Fianna Fail
Cullinane,David,M,Waterford,Sinn Fein
Deasy,John,M,Waterford,Fine Gael
Halligan,John,M,Waterford,Independents
Browne,James,M,Wexford,Fianna Fail
D'Arcy,Michael,M,Wexford,Fine Gael
Howlin,Brendan,M,Wexford,Labour
Kehoe,Paul,M,Wexford,Fine Gael
Wallace,Mick,M,Wexford,Independents
Brady,John,M,Wicklow,Sinn Fein
Casey,Pat,M,Wicklow,Fianna Fail
Donnelly,Stephen,M,Wicklow,Social Democrats
Doyle,Andrew,M,Wicklow,Fine Gael
Harris,Simon,M,Wicklow,Fine Gael
